D1,D2,RR,EXP_PROB1,EXP_PROB0,AR,PROBZ
1000,1239,0.662667343,0.001608393,0.002427149,-0.000818756,3.38E-13
1000,1240,0.835572974,0.000555451,0.000664755,-0.000109304,0.064127229
1000,1242,0.749995799,0.308415323,0.411222734,-0.102807411,0
1000,1243,0.731625892,0.088901125,0.121511726,-0.032610601,0
1000,1244,0.722247067,0.41736581,0.577871243,-0.160505433,0
1000,1245,0.688120512,0.014330633,0.020825761,-0.006495128,0
1000,1246,0.692234781,0.022923217,0.033114802,-0.010191585,0
1000,1247,0.739382368,0.10399007,0.140644508,-0.036654438,0
1000,1248,0.911331347,0.000874231,0.00095929,-0.000085059,0.231511553
1000,1249,0.738685791,0.001130222,0.001530044,-0.000399822,7.68E-06
1000,1250,0.804878568,0.000516811,0.000642098,-0.000125287,0.030710472
1000,1252,0.715686417,0.015726506,0.021974017,-0.006247511,0
1000,1253,1.067663343,0.000565111,0.000529297,0.000035814,0.500679472
1000,1255,0.820705096,0.008824424,0.010752248,-0.001927824,4.44E-16
1000,1256,0.751575414,0.003467946,0.004614235,-0.001146289,1.43E-13
1000,1257,0.652163954,0.00026565,0.000407337,-0.000141687,0.002125211
1000,1258,0.656214936,0.002120374,0.003231218,-0.001110844,0
1000,1259,0.678149331,0.03695439,0.054492998,-0.017538608,0
1000,1260,0.598075458,0.000782461,0.001308299,-0.000525838,2.04E-10
1000,1261,0.802367622,0.479508692,0.5976172,-0.118108508,0
1000,1262,0.647553701,0.017542589,0.027090554,-0.009547965,0
1000,1263,0.719173034,0.001067432,0.001484249,-0.000416817,2.18E-06
1000,1264,0.643107178,0.004588508,0.007134903,-0.002546395,0
1000,1265,0.740162579,0.20844865,0.281625491,-0.073176841,0
1000,1266,0.718484404,0.311487208,0.433533708,-0.1220465,0
1000,1267,0.679048162,0.019547042,0.028785943,-0.009238901,0
1000,1268,0.695203977,0.007201542,0.01035889,-0.003157348,0
1000,1270,0.789585813,0.020686924,0.026199716,-0.005512792,0
1000,1271,0.754336844,0.019513232,0.025868061,-0.006354829,0
1000,1272,0.589006233,0.013997363,0.023764371,-0.009767008,0
1000,1273,0.754460674,0.010968948,0.014538793,-0.003569845,0
1000,1277,0.863572575,0.001154372,0.00133674,-0.000182368,0.029478716
1000,1279,0.920786393,0.000367081,0.00039866,-0.000031579,0.491049007
1000,1284,0.763148221,0.000560281,0.000734171,-0.00017389,0.004998287
1000,1286,0.493608418,0.000371911,0.000753453,-0.000381542,1.46E-09
1000,1292,0.691007575,0.00026082,0.000377449,-0.000116629,0.008606406
1000,1293,0.770739218,0.003699786,0.004800309,-0.001100523,3.45E-12
1000,1295,0.981988339,0.000284971,0.000290197,-5.23E-06,0.893992535
1000,1298,0.740865605,0.000598921,0.000808407,-0.000209486,0.001264548
1000,1299,0.818346353,0.001347572,0.001646702,-0.00029913,0.00127383
